City,Lat,Lng,Country,Date,Max Temp (°F),Humidity (%),Cloudiness (%),Wind Speed (mph)
port alfred,-33.59,26.89,ZA,5/31/2019,54.93,78,100,1.92
nuuk,64.17,-51.74,GL,5/31/2019,46,70,49,5.01
sal rei,16.18,-22.92,CV,5/31/2019,73.4,78,75,16.11
klaksvik,62.23,-6.59,FO,5/31/2019,41,80,67,3.36
yellowknife,62.45,-114.38,CA,5/31/2019,41,65,20,8.05
bandarbeyla,9.49,50.81,SO,5/31/2019,74.55,84,100,10.76
carnarvon,-30.97,22.13,ZA,5/31/2019,56.91,32,91,2.82
sistranda,63.73,8.83,NO,5/31/2019,45,87,75,18.34
sitka,37.17,-99.65,US,5/31/2019,64.99,53,0,3
kadi,23.3,72.33,IN,5/31/2019,89.6,62,0,6.93
kajaani,64.22,27.73,FI,5/31/2019,44.6,81,90,20.8
upernavik,72.79,-56.15,GL,5/31/2019,32.79,87,41,7.29
miranda de ebro,42.69,-2.95,ES,5/31/2019,55.4,93,0,2.13
hobart,-42.88,147.33,AU,5/31/2019,59,66,75,10.29
itaquitinga,-7.66,-35.1,BR,5/31/2019,78.8,74,40,8.05
maumere,-8.63,122.22,ID,5/31/2019,82.83,68,84,7.45
syracuse,43.05,-76.15,US,5/31/2019,64.99,100,75,5.82
vaini,15.34,74.49,IN,5/31/2019,77,78,40,4.7
sorland,67.67,12.69,NO,5/31/2019,43.77,75,1,11.59
luena,-11.78,19.91,AO,5/31/2019,55.83,66,0,2.48
conceicao do mato dentro,-19.04,-43.42,BR,5/31/2019,60.51,94,1,1.32
cockburn town,21.46,-71.14,TC,5/31/2019,81.03,78,0,16.89
codrington,-28.95,153.24,AU,5/31/2019,66.2,18,0,6.93
hilo,19.71,-155.08,US,5/31/2019,80.6,65,90,3.36
hermanus,-34.42,19.24,ZA,5/31/2019,55,86,0,1.01
yar-sale,66.83,70.83,RU,5/31/2019,34.05,97,100,12.35
new norfolk,-42.78,147.06,AU,5/31/2019,59,66,75,10.29
shushtar,32.05,48.86,IR,5/31/2019,90.75,13,0,4.09
east london,-33.02,27.91,ZA,5/31/2019,55.4,93,0,2.24
kavieng,-2.57,150.8,PG,5/31/2019,84.99,74,82,10.8
naze,5.43,7.07,NG,5/31/2019,72.75,97,100,3.69
darlowo,54.42,16.41,PL,5/31/2019,54.39,92,100,16.22
byron bay,-28.65,153.62,AU,5/31/2019,68,25,28,8.05
muisne,0.61,-80.02,EC,5/31/2019,77.79,81,99,8.59
thompson,55.74,-97.86,CA,5/31/2019,39.2,82,75,2.24
georgetown,6.8,-58.16,GY,5/31/2019,77,100,40,4.7
